text,label
Terraform IAM policy overly permissive: Action='*'.,real
Hardcoded AWS credentials in Terraform variable.,real
Dockerfile uses root user.,real
Dockerfile exposes SSH port 22 unnecessarily.,real
Dockerfile runs apt-get update without pinning versions.,real
Dockerfile copies SSH private keys into image.,real
Kubernetes pod running privileged: true.,real
Kubernetes container requesting hostPID access.,real
Kubernetes container mounts host filesystem.,real
Kubernetes service type LoadBalancer exposed publicly.,real
Kubernetes container lacks resource limits.,real
IAM access key embedded in YAML config.,real
Azure Storage key found in environment file.,real
GCP service account key stored in repo.,real
Exposed .env file committed to source control.,real
TLS disabled on Kubernetes ingress resource.,real
Terraform instance metadata API left unrestricted.,real
Publicly exposed RDS instance configured in Terraform.,real
Hardcoded AWS secret key detected.,real
Hardcoded AWS access key ID detected.,real
Hardcoded GitHub personal access token (PAT).,real
API key found in source code.,real
Database password committed to repository.,real
Slack bot token leaked in JavaScript file.,real
JWT secret found in config.,real
Private SSH key detected in repo.,real
Stripe API secret published.,real
Twilio auth token in plaintext.,real
Google API key leaked.,real
Hardcoded OAuth client secret.,real
Unencrypted connection string in config file.,real
Azure access key leaked.,real
Firebase server key exposed.,real
Logging debug message with variable interpolation.,false_positive
Using print() for debugging output in Python.,false_positive
Creating a dictionary using comprehension.,false_positive
Using f-strings for formatting non-SQL text.,false_positive
Accessing environment variables via os.getenv.,false_positive
Opening a local config file for reading.,false_positive
Function performing safe string manipulation.,false_positive
Regex compiled but used safely.,false_positive
Calling subprocess without shell=True and static args.,false_positive
Safe YAML loader used: yaml.safe_load.,false_positive
console.log displaying variable values.,false_positive
Using JSON.parse on trusted static JSON.,false_positive
Using template literals for non-DOM strings.,false_positive
Checking request.params value in Express route.,false_positive
Local variable assignment in JS module.,false_positive
Setting textContent property in DOM.,false_positive
Static HTML template string with no variables.,false_positive
Commented-out debug code.,false_positive
Unused import statement.,false_positive
Whitespace or formatting change.,false_positive
Refactoring code without logic changes.,false_positive
Configuration file setting unrelated to security.,false_positive
Static constant definition in Java.,false_positive
Variable assigned static test data.,false_positive
Output printed to console for logging.,false_positive
Function parameter not used (benign).,false_positive
File path constant defined but not used.,false_positive
